Date,AAPL,AMGN,AMZN,BAC,CSCO,FB,GE,GOOGL,IBM,JNJ,JPM,KO,ORCL,PEP,PG,T,XOM,^GSPC
2010-01-04,6.583585739135742,45.675010681152344,133.89999389648438,13.663457870483398,18.33254051208496,,10.993693351745605,313.6886901855469,92.52869415283203,46.29838943481445,32.08794403076172,20.098237991333008,21.342697143554688,43.94144058227539,43.275535583496094,14.933931350708008,45.57538604736328,1132.989990234375
2010-01-05,6.594967842102051,45.279354095458984,134.69000244140625,14.107586860656738,18.25086212158203,,11.050618171691895,312.30731201171875,91.41094970703125,45.76154708862305,32.7094841003418,19.85511016845703,21.316936492919922,44.472408294677734,43.289703369140625,14.860780715942383,45.75333023071289,1136.52001953125
2010-01-06,6.490065574645996,44.9390754699707,132.25,14.27304458618164,18.13205909729004,,10.993693351745605,304.4344482421875,90.8171157836914,46.13374710083008,32.889217376708984,19.84806251525879,21.007741928100586,44.02754211425781,43.08437728881836,14.643326759338379,46.148773193359375,1137.1400146484375
2010-01-07,6.478067398071289,44.527591705322266,130.0,14.743297576904297,18.213733673095703,,11.562950134277344,297.34735107421875,90.50276184082031,45.80449676513672,33.54069519042969,19.798730850219727,20.939029693603516,43.747703552246094,42.85071563720703,14.478918075561523,46.00379180908203,1141.68994140625
2010-01-08,6.5211358070373535,44.92325210571289,133.52000427246094,14.612672805786133,18.310260772705078,,11.811997413635254,301.3113098144531,91.41094970703125,45.961971282958984,33.458316802978516,19.43229103088379,21.19669532775879,43.60419464111328,42.7940788269043,14.372846603393555,45.81922912597656,1144.97998046875
2010-01-11,6.46360969543457,45.12107849121094,130.30999755859375,14.743297576904297,18.258289337158203,,11.925844192504883,300.8558654785156,90.453857421875,45.96912384033203,33.346004486083984,19.826921463012695,21.205284118652344,43.553977966308594,42.6241340637207,14.303894996643066,46.33332443237305,1146.97998046875
2010-01-12,6.390086650848389,44.33766555786133,127.3499984741211,14.246922492980957,17.968713760375977,,11.932961463928223,295.5355224609375,91.17341613769531,46.21249771118164,32.567203521728516,20.041860580444336,21.093626022338867,44.163875579833984,43.11269760131836,14.298590660095215,46.1026496887207,1136.219970703125
2010-01-13,6.480220794677734,44.733333587646484,129.11000061035156,14.473339080810547,18.2954044342041,,11.975654602050781,293.8388366699219,90.9778060913086,46.50597381591797,33.136322021484375,20.094711303710938,21.299755096435547,44.52263641357422,43.55875778198242,14.128876686096191,45.91810607910156,1145.6800537109375
2010-01-14,6.442690372467041,44.4405517578125,127.3499984741211,14.64750862121582,18.525588989257812,,11.883149147033691,295.22021484375,92.43087768554688,46.599029541015625,33.46581268310547,20.129945755004883,21.807510375976562,45.0607795715332,43.60124588012695,13.890212059020996,45.9246940612793,1148.4599609375
2010-01-15,6.335019588470459,44.511756896972656,127.13999938964844,14.159835815429688,18.117210388183594,,11.69814395904541,290.290283203125,92.06062316894531,46.21249771118164,32.7094841003418,19.833967208862305,21.72144317626953,44.6948356628418,43.06312942504883,13.678069114685059,45.54902267456055,1136.030029296875
2010-01-19,6.615270614624023,45.54048156738281,127.61000061035156,14.212088584899902,18.451339721679688,,11.769298553466797,294.1040954589844,93.70931243896484,46.77798843383789,32.40995788574219,19.879776000976562,21.798900604248047,44.72354507446289,43.70036697387695,13.895519256591797,45.65447235107422,1150.22998046875
2010-01-20,6.51344633102417,45.26352310180664,125.77999877929688,14.36013126373291,18.1246337890625,,11.740842819213867,290.4954833984375,90.99178314208984,46.63482666015625,32.49980926513672,19.55560874938965,21.566539764404297,44.45087432861328,43.10847473144531,13.699285507202148,44.83720779418945,1138.0400390625
2010-01-21,6.400853157043457,44.812461853027344,126.62000274658203,13.47187328338623,17.80535888671875,,11.39928913116455,291.7817687988281,90.11856079101562,45.79015350341797,30.358110427856445,19.157445907592773,21.368602752685547,43.726165771484375,42.6734619140625,13.614423751831055,43.960628509521484,1116.47998046875
2010-01-22,6.083380222320557,44.78872299194336,121.43000030517578,12.975493431091309,17.05542755126953,,11.463329315185547,275.2802734375,87.67346954345703,45.2390022277832,29.32471466064453,19.111644744873047,20.783403396606445,43.33154296875,43.008644104003906,13.465922355651855,43.565185546875,1091.760009765625
2010-01-25,6.2470383644104,44.084449768066406,120.30999755859375,13.045164108276367,17.070268630981445,,11.648334503173828,270.270263671875,88.10661315917969,45.25331115722656,29.362159729003906,19.150409698486328,20.68012809753418,43.21672821044922,43.23683547973633,13.566694259643555,43.40041732788086,1096.780029296875
2010-01-26,6.335329055786133,44.77290344238281,119.4800033569336,12.862290382385254,17.003448486328125,,11.634102821350098,271.4814758300781,87.84809875488281,44.94551086425781,28.785539627075195,19.076406478881836,20.55103874206543,43.23108673095703,43.27961730957031,13.434100151062012,43.446563720703125,1092.1700439453125
2010-01-27,6.395008563995361,45.69083023071289,122.75,13.22804069519043,17.189075469970703,,11.598526000976562,271.3213195800781,88.2532958984375,45.41078186035156,29.452024459838867,19.20677947998047,20.533830642700195,43.259796142578125,43.365196228027344,13.58790397644043,43.19611358642578,1097.5
2010-01-28,6.13075590133667,45.95988464355469,126.02999877929688,13.38478946685791,16.721294403076172,,11.498905181884766,267.41241455078125,86.45092010498047,45.6684684753418,29.56434440612793,19.09050941467285,20.198192596435547,42.865142822265625,43.985618591308594,13.545475006103516,42.81382751464844,1084.530029296875
2010-01-29,5.908337116241455,46.27640914916992,125.41000366210938,13.21933364868164,16.68416976928711,,11.441981315612793,265.2352294921875,85.50083923339844,44.99562072753906,29.15997314453125,19.115171432495117,19.845348358154297,42.77904510498047,43.892913818359375,13.450017929077148,42.46452713012695,1073.8699951171875
